Nome do alimento,Nível 1,Nível 2,Nível 3,Energia [kcal],Energia [kJ],Lípidos [g],Ácidos gordos saturados [g],Ácidos gordos monoinsaturados  [g],Ácidos gordos polinsaturados  [g],Ácido linoleico  [g],Ácidos gordos trans  [g],Hidratos de carbono  [g],Açúcares  [g],Oligossacáridos  [g],Amido  [g],Fibra   [g],Proteínas  [g],Sal   [g],Álcool  [g],Água  [g],Ácidos orgânicos  [g],Colesterol  [mg],Vitamina A   [µg],Caroteno  [µg],Vitamina D  [µg],alfa-tocoferol  [mg],Tiamina  [mg],Riboflavina  [mg],Niacina  [mg],Equivalentes de niacina  [mg],Triptofano/60  [mg],Vitamina B6  [mg],Vitamina B12  [µg],Vitamina C  [mg],Folatos  [µg],Cinza  [g],Sódio  [mg],Potássio  [mg],Cálcio  [mg],Fósforo  [mg],Magnésio  [mg],Ferro  [mg],Zinco  [mg],Selénio  [µg],Iodo  [µg]
Abacate,Frutos e produtos derivados de frutos,Fruta utilizada como fruta,"Frutos diversos com casca não comestível, grandes",176,726,17.4,4.2,10.0,2.3,1.1,0.0,2.3,2.3,0.0,0.0,3.0,1.1,0.0,0.0,71.5,0.0,0.0,5.0,32.0,0.0,2.1,0.1,0.17,1.1,1.3,1.1,0.3,0.0,3.0,11.0,0.75,15.0,330.0,4.0,36.0,21.0,0.3,0.3,,
Abóbora cristalizada,Produtos hortícolas e derivados,Produtos hortícolas transformados ou em conserva e produtos similares,Produtos hortícolas cristalizados ou conservados com açúcar,293,1240,0.2,0.1,0.0,0.0,0.0,0.0,72.4,72.4,0.0,0.0,0.7,0.0,0.1,0.0,26.4,0.0,0.0,45.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,27.0,22.0,28.0,2.0,3.0,0.4,0.1,,
Abóbora crua,Produtos hortícolas e derivados,Frutos de hortícolas,Frutos vegetais de cucurbitáceas,11,47,0.2,0.1,0.0,0.0,0.0,0.0,1.7,1.4,0.0,0.3,0.7,0.3,0.0,0.0,96.6,0.0,0.0,160.0,962.0,0.0,1.0,0.01,0.01,0.6,0.6,0.0,0.04,0.0,12.0,8.0,0.4,1.0,200.0,25.0,5.0,5.0,0.1,0.1,,
Açafrão,"Leguminosas, frutos de casca rija, sementes oleaginosas e especiarias",Especiarias,"Flores ou partes de flores, utilizadas como especiarias ou similares",353,1490,5.9,1.6,0.4,2.1,2.0,0.0,61.5,42.4,0.0,17.4,3.9,11.4,0.4,0.0,11.9,0.0,0.0,53.0,318.0,0.0,1.69,0.12,0.27,1.5,2.2,0.7,1.3,0.0,0.0,0.0,3.0,150.0,1720.0,110.0,250.0,50.0,11.0,1.1,,
Açafrão-da-índia seco,"Leguminosas, frutos de casca rija, sementes oleaginosas e especiarias",Especiarias,Especiaria de de raízes e tubérculos,312,1300,7.0,2.9,0.6,2.9,2.7,0.0,44.1,44.1,0.0,0.0,22.7,6.7,0.1,0.0,9.9,0.0,0.0,3.0,15.0,0.0,5.0,0.09,0.11,3.7,6.2,2.5,0.0,0.0,0.0,0.0,7.08,31.0,2910.0,170.0,290.0,190.0,40.0,3.2,,
Acelga crua,Produtos hortícolas e derivados,Hortícolas folhosos,Folhas do tipo espinafre,23,97,0.2,0.0,0.0,0.1,0.0,0.0,2.7,0.6,0.0,2.1,1.6,1.8,0.5,0.0,92.7,0.0,0.0,766.0,4600.0,0.0,0.6,0.04,0.09,0.4,0.69,0.29,0.1,0.0,30.0,89.5,1.6,210.0,380.0,51.0,46.0,81.0,1.8,0.4,,
Açúcar amarelo,"Açúcar e similares, confeitaria e sobremesas doces à base de água",Açúcar e outros adoçantes (excluindo os adoçantes intensivos),Açúcares (mono e dissacarídeos),390,1660,0.0,0.0,0.0,0.0,0.0,0.0,97.5,97.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,18.0,53.0,40.0,7.0,7.0,0.9,0.1,,
Açúcar branco,"Açúcar e similares, confeitaria e sobremesas doces à base de água",Açúcar e outros adoçantes (excluindo os adoçantes intensivos),Açúcares (mono e dissacarídeos),397,1690,0.0,0.0,0.0,0.0,0.0,0.0,99.3,99.3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,
Agrião cru,Produtos hortícolas e derivados,Hortícolas folhosos,Agriões e similares-,29,122,0.9,0.3,0.1,0.4,0.1,0.0,0.4,0.4,0.0,0.0,3.0,3.4,0.1,0.0,91.2,0.0,0.0,325.0,1950.0,0.0,1.5,0.09,0.07,0.6,1.1,0.5,0.23,0.0,77.0,200.0,1.15,49.0,230.0,200.0,56.0,15.0,1.7,0.2,,
"Água mineral natural gaseificada, Água Castello",Água e bebidas à base de água,Água potável,Água engarrafada,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,4.0,0.1,9.1,0.0,3.0,0.0,0.0,,
"Água mineral natural gaseificada, Vimeiro",Água e bebidas à base de água,Água potável,Água engarrafada,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,17.0,0.6,12.0,0.0,4.0,0.0,0.0,,
"Água mineral natural gasocarbónica, Pedras Salgadas",Água e bebidas à base de água,Água potável,Água engarrafada,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,64.0,2.0,19.0,0.0,2.0,0.5,0.1,,
